"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Series"
"Conference Paper","Mosca F,Such JM","ELVIRA: An Explainable Agent for Value and Utility-Driven Multiuser Privacy","","2021","","","916–924","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","Proceedings of the 20th International Conference on Autonomous Agents and MultiAgent Systems","Virtual Event, United Kingdom","2021","9781450383073","","","","Online social networks fail to support users to adequately share co-owned content, which leads to privacy violations. Scholars proposed collaborative mechanisms to support users, but they did not satisfy one or more requirements needed according to empirical evidence in this domain, such as explainability, role-agnosticism, adaptability, and being utility- and value-driven. We present ELVIRA, an agent that supports multiuser privacy, whose design meets all these requirements. By considering the sharing preferences and the moral values of users, ELVIRA identifies the optimal sharing policy. Furthermore, ELVIRA justifies the optimality of the solution through explanations based on argumentation. We prove via simulations that ELVIRA provides solutions with the best trade-off between individual utility and value adherence. We also show through a user study that ELVIRA suggests solutions that are more acceptable than existing approaches and that its explanations are also more satisfactory.","explainable agents, practical reasoning, multiuser privacy, human-agent interaction, value-based agents","","AAMAS '21"
"Conference Paper","Anjomshoae S,Najjar A,Calvaresi D,Främling K","Explainable Agents and Robots: Results from a Systematic Literature Review","","2019","","","1078–1088","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","Proceedings of the 18th International Conference on Autonomous Agents and MultiAgent Systems","Montreal QC, Canada","2019","9781450363099","","","","Humans are increasingly relying on complex systems that heavily adopts Artificial Intelligence (AI) techniques. Such systems are employed in a growing number of domains, and making them explainable is an impelling priority. Recently, the domain of eXplainable Artificial Intelligence (XAI) emerged with the aims of fostering transparency and trustworthiness. Several reviews have been conducted. Nevertheless, most of them deal with data-driven XAI to overcome the opaqueness of black-box algorithms. Contributions addressing goal-driven XAI (e.g., explainable agency for robots and agents) are still missing. This paper aims at filling this gap, proposing a Systematic Literature Review. The main findings are (i) a considerable portion of the papers propose conceptual studies, or lack evaluations or tackle relatively simple scenarios; (ii) almost all of the studied papers deal with robots/agents explaining their behaviors to the human users, and very few works addressed inter-robot (inter-agent) explainability. Finally, (iii) while providing explanations to non-expert users has been outlined as a necessity, only a few works addressed the issues of personalization and context-awareness.","goal-based XAI, human-robot interaction, explainable AI, autonomous agents","","AAMAS '19"
"Conference Paper","Das D,Banerjee S,Chernova S","Explainable AI for Robot Failures: Generating Explanations That Improve User Assistance in Fault Recovery","","2021","","","351–360","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2021 ACM/IEEE International Conference on Human-Robot Interaction","Boulder, CO, USA","2021","9781450382892","","https://doi.org/10.1145/3434073.3444657;http://dx.doi.org/10.1145/3434073.3444657","10.1145/3434073.3444657","With the growing capabilities of intelligent systems, the integration of robots in our everyday life is increasing. However, when interacting in such complex human environments, the occasional failure of robotic systems is inevitable. The field of explainable AI has sought to make complex-decision making systems more interpretable but most existing techniques target domain experts. On the contrary, in many failure cases, robots will require recovery assistance from non-expert users. In this work, we introduce a new type of explanation, εerr, that explains the cause of an unexpected failure during an agent's plan execution to non-experts. In order for error explanations to be meaningful, we investigate what types of information within a set of hand-scripted explanations are most helpful to non-experts for failure and solution identification. Additionally, we investigate how such explanations can be autonomously generated, extending an existing encoder-decoder model, and generalized across environments. We investigate such questions in the context of a robot performing a pick-and-place manipulation task in the home environment. Our results show that explanations capturing the context of a failure and history of past actions, are the most effective for failure and solution identification among non-experts. Furthermore, through a second user evaluation, we verify that our model-generated explanations can generalize to an unseen office environment, and are just as effective as the hand-scripted explanations.","explainable ai, fault recovery","","HRI '21"
"Conference Paper","Kwiatkowski J,Ou L,Chang YC,Lin CT","Explainable Hybrid CNN and FNN Approach Applied on Robotic Wall-Following Behaviour Learning","","2022","","","623–628","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2021 4th International Conference on Artificial Intelligence and Pattern Recognition","Xiamen, China","2022","9781450384087","","https://doi.org/10.1145/3488933.3489026;http://dx.doi.org/10.1145/3488933.3489026","10.1145/3488933.3489026","Fuzzy Neural Network (FNN) applied to robotic control tasks has proved to be effective by previous researchers. However, FNN has an inherent deficiency in dealing with inputs of large dimensions, such as images. Therefore, this research utilizes a Convolutional Neural Network (CNN) model to convert image into distance values and delivers these values to FNN based robot controller as inputs. The proposed hybrid CNN+FNN are tested with both a regression model and a multi-task model. Results show that the multi-task method performs better with less information loss from input images. This paper also proved that the proposed hybrid approach can be generalized into an unknown robotic simulation environment and performs better than its FNN counterpart. By utilizing state of the art explainable analysis method, both the CNN part and the FNN part of the hybrid approach can be explained in a human-understandable way.","Fuzzy System, Robotic Navigation, Additional Key Words and Phrases: Explainable AI","","AIPR '21"
"Conference Paper","Tabrez A,Hayes B","Improving Human-Robot Interaction through Explainable Reinforcement Learning","","2020","","","751–753","IEEE Press","Daegu, Republic of Korea","Proceedings of the 14th ACM/IEEE International Conference on Human-Robot Interaction","","2020","9781538685556","","","","Gathering the most informative data from humans without overloading them remains an active research area in AI, and is closely coupled with the problems of determining how and when information should be communicated to others [12]. Current decision support systems (DSS) are still overly simple and static, and cannot adapt to changing environments we expect to deploy in modern systems [3], [4], [9], [11]. They are intrinsically limited in their ability to explain rationale versus merely listing their future behaviors, limiting a human's understanding of the system [2], [7]. Most probabilistic assessments of a task are conveyed after the task/skill is attempted rather than before [10], [14], [16]. This limits failure recovery and danger avoidance mechanisms. Existing work on predicting failures relies on sensors to accurately detect explicitly annotated and learned failure modes [13]. As such, important non-obvious pieces of information for assessing appropriate trust and/or course-of-action (COA) evaluation in collaborative scenarios can go overlooked, while irrelevant information may instead be provided that increases clutter and mental workload. Understanding how AI models arrive at specific decisions is a key principle of trust [8]. Therefore, it is critically important to develop new strategies for anticipating, communicating, and explaining justifications and rationale for AI driven behaviors via contextually appropriate semantics.","","","HRI '19"
"Journal Article","Han Z,Phillips E,Yanco HA","The Need for Verbal Robot Explanations and How People Would Like a Robot to Explain Itself","J.  Hum. -Robot Interact.","2021","10","4","","Association for Computing Machinery","New York, NY, USA","","","2021-09","","","https://doi.org/10.1145/3469652;http://dx.doi.org/10.1145/3469652","10.1145/3469652","Although non-verbal cues such as arm movement and eye gaze can convey robot intention, they alone may not provide enough information for a human to fully understand a robot’s behavior. To better understand how to convey robot intention, we conducted an experiment (N = 366) investigating the need for robots to explain, and the content and properties of a desired explanation such as timing, engagement importance, similarity to human explanations, and summarization. Participants watched a video where the robot was commanded to hand an almost-reachable cup and one of six reactions intended to show the unreachability : doing nothing (No Cue), turning its head to the cup (Look), or turning its head to the cup with the addition of repeated arm movement pointed towards the cup (Look & Point), and each of these with or without a Headshake. The results indicated that participants agreed robot behavior should be explained across all conditions, in situ, in a similar manner as what human explain, and provide concise summaries and respond to only a few follow-up questions by participants. Additionally, we replicated the study again with N = 366 participants after a 15-month span and all major conclusions still held.","behavior explanation, system transparency, Robot explanation","",""
"Journal Article","Han Z,Giger D,Allspaw J,Lee MS,Admoni H,Yanco HA","Building the Foundation of Robot Explanation Generation Using Behavior Trees","J.  Hum. -Robot Interact.","2021","10","3","","Association for Computing Machinery","New York, NY, USA","","","2021-07","","","https://doi.org/10.1145/3457185;http://dx.doi.org/10.1145/3457185","10.1145/3457185","As autonomous robots continue to be deployed near people, robots need to be able to explain their actions. In this article, we focus on organizing and representing complex tasks in a way that makes them readily explainable. Many actions consist of sub-actions, each of which may have several sub-actions of their own, and the robot must be able to represent these complex actions before it can explain them. To generate explanations for robot behavior, we propose using Behavior Trees (BTs), which are a powerful and rich tool for robot task specification and execution. However, for BTs to be used for robot explanations, their free-form, static structure must be adapted. In this work, we add structure to previously free-form BTs by framing them as a set of semantic sets goal, subgoals, steps, actions and subsequently build explanation generation algorithms that answer questions seeking causal information about robot behavior. We make BTs less static with an algorithm that inserts a subgoal that satisfies all dependencies. We evaluate our BTs for robot explanation generation in two domains: a kitting task to assemble a gearbox, and a taxi simulation. Code for the behavior trees (in XML) and all the algorithms is available at github.com/uml-robotics/robot-explanation-BTs.","behavior trees, state summarization, robot explanation generation, Behavior explanation, robot transparency","",""
"Conference Paper","Wang N,Pynadath DV,Hill SG","The Impact of POMDP-Generated Explanations on Trust and Performance in Human-Robot Teams","","2016","","","997–1005","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","Proceedings of the 2016 International Conference on Autonomous Agents & Multiagent Systems","Singapore, Singapore","2016","9781450342391","","","","Researchers have observed that people will more accurately trust an autonomous system, such as a robot, if they have a more accurate understanding of its decision-making process. Studies have shown that hand-crafted explanations can help maintain effective team performance even when the system is less than 100% reliable. However, current explanation algorithms are not sufficient for making a robot's quantitative reasoning (in terms of both uncertainty and conflicting goals) transparent to human teammates. In this work, we develop a novel mechanism for robots to automatically generate explanations of reasoning based on Partially Observable Markov Decision Problems (POMDPs). Within this mechanism, we implement alternate natural-language templates and then measure their differential impact on trust and team performance within an agent-based online test-bed that simulates a human-robot team task. The results demonstrate that the added explanation capability leads to improvement in transparency, trust, and team performance. Furthermore, by observing the different outcomes due to variations in the robot's explanation content, we gain valuable insight that can help lead to refinement of explanation algorithms to further improve human-robot interaction.","trust, pomdps, human-robot interaction, explainable ai","","AAMAS '16"
"Journal Article","Han Z,Yanco H","Communicating Missing Causal Information to Explain a Robot’s Past Behavior","J.  Hum. -Robot Interact.","2023","12","1","","Association for Computing Machinery","New York, NY, USA","","","2023-02","","","https://doi.org/10.1145/3568024;http://dx.doi.org/10.1145/3568024","10.1145/3568024","Robots need to explain their behavior to gain trust. Existing research has focused on explaining a robot’s current behavior, yet it remains unknown yet challenging how to provide explanations of past actions in an environment that might change after a robot’s actions, leading to critical missing causal information due to moved objects.We conducted an experiment (N = 665) investigating how a robot could help participants infer the missing causal information by replaying the past behavior physically, using verbal explanations, and projecting visual information onto the environment. Participants watched videos of the robot replaying its completion of an integrated mobile kitting task. During the replay, the objects are already gone, so participants needed to infer where an object was picked, where a ground obstacle had been, and where the object was placed.Based on the results, we recommend combining physical replay with speech and projection indicators (Replay-Project-Say) to help infer all the missing causal information (picking, navigation, and placement) from the robot’s past actions. This condition had the best outcome in both task-based—effectiveness, efficiency, and confidence—and team-based metrics—workload and trust. If one’s focus is efficiency, then we recommend projection markers for navigation inferences and verbal markers for placing inferences.","system transparency, Robot explanation, behavior explanation","",""
"Conference Paper","Cassady JT,Robinson C,Popa DO","Increasing User Trust in a Fetching Robot Using Explainable AI in a Traded Control Paradigm","","2020","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 13th ACM International Conference on PErvasive Technologies Related to Assistive Environments","Corfu, Greece","2020","9781450377737","","https://doi.org/10.1145/3389189.3393740;http://dx.doi.org/10.1145/3389189.3393740","10.1145/3389189.3393740","Recently, there has been an increase use of collaborative robots in manufacturing, healthcare, military, and personal use scenarios. Such robots operate under shared or traded control paradigms with their human operators or users. Therefore, it is important to understand how to address and improve issues of trust between the humans and collaborative robots. In this paper, we investigate the impact of robotic agent transparency to their subjective trust level by a human operator. Several experiments were conceived with the help of a fetching mobile robot under traded control, and data such as subjective trust level was collected during experimentation. Results indicate that trust is easier to lose than it is to gain. Furthermore, results also indicate that agent transparency's effect on operator trust is more significant in tasks of increasing complexity.","explainable autonomy, mobile manipulation","","PETRA '20"
