"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"CSK-Detector: Commonsense in object detection","I. Chernyavsky; A. S. Varde; S. Razniewski","Montclair State University, NJ, USA; Montclair State University, NJ, USA; Max Planck Institute for Informatics (MPII), Saarbrucken, Germany","2022 IEEE International Conference on Big Data (Big Data)","26 Jan 2023","2022","","","6609","6612","We propose an approach CSK-Detector for object detection and image categorization, well-suited for big data, by transferring commonsense knowledge from a knowledge base, augmented with premises and quantifiers. It is implemented for domestic robotics, especially with the motivation that next-generation and multipurpose domestic robots should be able to seamlessly discern environments for specific tasks without prior annotation of excessive images. CSK-Detector is evaluated on real data, yielding better results than deep learning without commonsense, while also providing an explainable approach. It broadly impacts human-robot collaboration and smart living.","","978-1-6654-8045-1","10.1109/BigData55660.2022.10020915","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10020915","Big data;commonsense knowledge;domestic robotics;explainable AI;image categorization;smart living","Deep learning;Annotations;Knowledge based systems;Collaboration;Object detection;Big Data;Task analysis","human-robot interaction;humanoid robots;object detection","big data;CSK-detector;human-robot collaboration;image categorization;multipurpose domestic robots;object detection;seamlessly discern environments","","","","14","IEEE","26 Jan 2023","","","IEEE","IEEE Conferences"
"Semantic programming for AI and Robotics","S. Goncharov; A. Nechesov","Lab. Computability Theory and Applied Logic, Sobolev Institute of Mathematics, Novosibirsk, Russia; Lab. Computability Theory and Applied Logic, Sobolev Institute of Mathematics, Novosibirsk, Russia","2022 IEEE International Multi-Conference on Engineering, Computer and Information Sciences (SIBIRCON)","23 Jan 2023","2022","","","810","815","The paper presents a new high-level object-oriented programming language L∗ which is a conservative extension of the p-complete logical programming language L. The p-complete language L was developed by us earlier within the framework of semantic programming theory based on PAG-theorem, p-iterative and conditional terms. Thus, L∗-programs can be used to implement any algorithms of polynomial complexity in such areas as artificial intelligence, robotics and smart contracts. This is especially true of the so-called explainable artificial intelligence (or briefly XAI), where it is necessary not only to give out the result based on the obtained data, but also to explain this result in a human-understandable language. This requires a programming language based on the basic constructions of mathematical logic such as logical formulas and terms. Moreover, the syntax of language L∗ is as close as possible to the most popular programming languages such as C++, PHP, JavaScript. Which provides programmers with a quick entry into development.","","978-1-6654-6480-2","10.1109/SIBIRCON56155.2022.10017077","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10017077","polynomial computability;p-complete languages;semantic programming;AI;robotics;XAI;explainable AI","Computer languages;Machine learning algorithms;Smart contracts;Semantics;Neural networks;Syntactics;Libraries","artificial intelligence;computational complexity;formal logic;Java;logic programming;object-oriented programming;programming language semantics;programming theory","conditional terms;conservative extension;explainable artificial intelligence;high-level object-oriented programming language;human-understandable language;L* -programs;logical formulas;mathematical logic;p-complete logical programming language;PAG-theorem;polynomial complexity;robotics;semantic programming theory","","","","10","IEEE","23 Jan 2023","","","IEEE","IEEE Conferences"
"Improving Human-Robot Interaction Through Explainable Reinforcement Learning","A. Tabrez; B. Hayes","University Of Colorado Boulder, Boulder, CO; University Of Colorado Boulder, Boulder, CO","2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI)","25 Mar 2019","2019","","","751","753","Gathering the most informative data from humans without overloading them remains an active research area in AI, and is closely coupled with the problems of determining how and when information should be communicated to others [12]. Current decision support systems (DSS) are still overly simple and static, and cannot adapt to changing environments we expect to deploy in modern systems [3], [4], [9], [11]. They are intrinsically limited in their ability to explain rationale versus merely listing their future behaviors, limiting a human's understanding of the system [2], [7]. Most probabilistic assessments of a task are conveyed after the task/skill is attempted rather than before [10], [14], [16]. This limits failure recovery and danger avoidance mechanisms. Existing work on predicting failures relies on sensors to accurately detect explicitly annotated and learned failure modes [13]. As such, important non-obvious pieces of information for assessing appropriate trust and/or course-of-action (COA) evaluation in collaborative scenarios can go overlooked, while irrelevant information may instead be provided that increases clutter and mental workload. Understanding how AI models arrive at specific decisions is a key principle of trust [8]. Therefore, it is critically important to develop new strategies for anticipating, communicating, and explaining justifications and rationale for AI driven behaviors via contextually appropriate semantics.","2167-2148","978-1-5386-8555-6","10.1109/HRI.2019.8673198","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8673198","","Task analysis;Robots;Collaboration;Hidden Markov models;Artificial intelligence;Maintenance engineering;Planning","decision support systems;human-robot interaction;learning (artificial intelligence)","human-robot interaction;explainable reinforcement learning;DSS;changing environments;modern systems;rationale versus;future behaviors;probabilistic assessments;failure recovery;danger avoidance mechanisms;learned failure modes;nonobvious pieces;course-of-action evaluation;collaborative scenarios;irrelevant information;AI models;specific decisions;communicating;explaining justifications;decision support systems;task;skill;annotated failure modes;COA evaluation;mental workload;AI driven behaviors","","14","","16","IEEE","25 Mar 2019","","","IEEE","IEEE Conferences"
"Causal versus Marginal Shapley Values for Robotic Lever Manipulation Controlled using Deep Reinforcement Learning","S. B. Remman; I. Strümke; A. M. Lekkas","Department of Engineering Cybernetics, Norwegian University of Science and Technology (NTNU), Trondheim, Norway; Department of Engineering Cybernetics, Norwegian University of Science and Technology (NTNU), Trondheim, Norway; Department of Engineering Cybernetics, Centre for Autonomous Marine Operations and Systems (AMOS), Norwegian University of Science and Technology (NTNU), Trondheim, Norway","2022 American Control Conference (ACC)","5 Sep 2022","2022","","","2683","2690","We investigate the effect of including application knowledge about a robotic system states’ causal relations when generating explanations of deep neural network policies. To this end, we compare two methods from explainable artificial intelligence, KernelSHAP, and causal SHAP, on a deep neural network trained using deep reinforcement learning on the task of controlling a lever using a robotic manipulator. A primary disadvantage of KernelSHAP is that its explanations represent only the features’ direct effects on a model’s output, not considering the indirect effects a feature can have on the output by affecting other features. Causal SHAP uses a partial causal ordering to alter KernelSHAP’s sampling procedure to incorporate these indirect effects. This partial causal ordering defines the causal relations between the features, and we specify this using application knowledge about the lever control task. We show that enabling an explanation method to account for indirect effects and incorporating some application knowledge can lead to explanations that better agree with human intuition. This is especially favorable for a real-world robotics task, where there is considerable causality at play, and in addition, the required application knowledge is often handily available.","2378-5861","978-1-6654-5196-3","10.23919/ACC53348.2022.9867807","The Research Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9867807","Deep reinforcement learning;robotics;explainable artificial intelligence;Shapley additive explanations;causal SHAP","Deep learning;Knowledge engineering;Analytical models;Data analysis;Neural networks;Reinforcement learning;Manipulators","control engineering computing;deep learning (artificial intelligence);explanation;manipulators;reinforcement learning","robotic system states;explanation generation;deep neural network policies;explainable artificial intelligence;causal SHAP;deep reinforcement learning;robotic manipulator;partial causal ordering;causal relations;lever control task;explanation method;real-world robotics task;causality;robotic lever manipulation;application knowledge;KernelSHAP sampling procedure;marginal Shapley values","","1","","26","","5 Sep 2022","","","IEEE","IEEE Conferences"
"Explainable Reinforcement Learning in Human-Robot Teams: The Impact of Decision-Tree Explanations on Transparency","D. V. Pynadath; N. Gurney; N. Wang","Computer Science Department, Institute for Creative Technologies and Viterbi School of Engineering, University of Southern California, Los Angeles, CA, USA; Institute for Creative Technologies, University of Southern California, Los Angeles, CA, USA; Computer Science Department, Institute for Creative Technologies and Viterbi School of Engineering, University of Southern California, Los Angeles, CA, USA","2022 31st IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)","30 Sep 2022","2022","","","749","756","Understanding the decisions of AI-driven systems and the rationale behind such decisions is key to the success of the human-robot team. However, the complexity and the ""black-box"" nature of many AI algorithms create a barrier for establishing such understanding within their human counterparts. Reinforcement Learning (RL), a machine-learning algorithm based on the simple idea of action-reward mappings, has a rich quantitative representation and a complex iterative reasoning process that present a significant obstacle to human understanding of, for example, how value functions are constructed, how the algorithms update the value functions, and how such updates impact the action/policy chosen by the robot. In this paper, we discuss our work to address this challenge by developing a decision-tree based explainable model for RL to make a robot’s decision-making process more transparent. Set in a human-robot virtual teaming testbed, we conducted a study to assess the impact of the explanations, generated using decision trees, on building transparency, calibrating trust, and improving the overall human-robot team’s performance. We discuss the design of the explainable model and the positive impact of the explanations on outcome measures.","1944-9437","978-1-7281-8859-1","10.1109/RO-MAN53752.2022.9900608","U.S. Army; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900608","","Decision making;Buildings;Reinforcement learning;Iterative algorithms;Cognition;Complexity theory;Decision trees","cognitive systems;decision trees;explanation;human-robot interaction;inference mechanisms;knowledge representation;reinforcement learning","explainable reinforcement learning;human-robot team;decision-tree explanations;AI-driven systems;AI algorithm;machine-learning algorithm;quantitative representation;complex iterative reasoning process;human understanding;decision-tree based explainable model;human-robot virtual teaming;action-reward mapping;robot decision-making process;trust calibration","","1","","38","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"Explanations in Autonomous Driving: A Survey","D. Omeiza; H. Webb; M. Jirotka; L. Kunze","Department of Computer Science, University of Oxford, Oxford, U.K.; School of Computer Science, University of Nottingham, Nottingham, U.K.; Department of Computer Science, University of Oxford, Oxford, U.K.; Department of Engineering Science, Oxford Robotics Institute, University of Oxford, Oxford, U.K.","IEEE Transactions on Intelligent Transportation Systems","10 Aug 2022","2022","23","8","10142","10162","The automotive industry has witnessed an increasing level of development in the past decades; from manufacturing manually operated vehicles to manufacturing vehicles with a high level of automation. With the recent developments in Artificial Intelligence (AI), automotive companies now employ blackbox AI models to enable vehicles to perceive their environment and make driving decisions with little or no input from a human. With the hope to deploy autonomous vehicles (AV) on a commercial scale, the acceptance of AV by society becomes paramount and may largely depend on their degree of transparency, trustworthiness, and compliance with regulations. The assessment of the compliance of AVs to these acceptance requirements can be facilitated through the provision of explanations for AVs’ behaviour. Explainability is therefore seen as an important requirement for AVs. AVs should be able to explain what they have ‘seen’, done, and might do in environments in which they operate. In this paper, we provide a comprehensive survey of the existing work in explainable autonomous driving. First, we open by providing a motivation for explanations by highlighting the importance of transparency, accountability, and trust in AVs; and examining existing regulations and standards related to AVs. Second, we identify and categorise the different stakeholders involved in the development, use, and regulation of AVs and elicit their AV explanation requirements. Third, we provide a rigorous review of previous work on explanations for the different AV operations (i.e., perception, localisation, planning, vehicle control, and system management). Finally, we discuss pertinent challenges and provide recommendations including a conceptual framework for AV explainability. This survey aims to provide the fundamental knowledge required of researchers who are interested in explanation provisions in autonomous driving.","1558-0016","","10.1109/TITS.2021.3122865","UK’s Engineering and Physical Sciences Research Council (EPSRC) through the Project RoboTIPS: Developing Responsible Robots for the Digital Economy(grant numbers:EP/S005099/1); Assuring Autonomy International Programme [Demonstrator Project: Sense-Assess-eXplain (SAX)], a partnership between Lloyd’s Register Foundation and the University of York; Trustworthy Autonomous Systems Hub’s Project [Responsible AV Data (RoAD)](grant numbers:EP/V00784X/1); Responsible Technology Institute, Oxford; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9616449","Explanations;explainable AI;accountability;trust;autonomous vehicles;robotics;intelligent vehicles;human–machine interaction;regulations;standards","Autonomous vehicles;Stakeholders;Automation;Regulation;Artificial intelligence;Accidents;Standards","artificial intelligence;automobile industry;decision making;legislation;mobile robots;road vehicles","automotive companies;autonomous vehicles;AV behaviour;explainable autonomous driving;AV explanation requirements;AV operations;AV explainability;manufacturing vehicles","","26","","186","IEEE","16 Nov 2021","","","IEEE","IEEE Journals"
"Robotic Lever Manipulation using Hindsight Experience Replay and Shapley Additive Explanations","S. B. Remman; A. M. Lekkas","Department of Engineering Cybernetics, Norwegian University of Science and Technology (NTNU), Trondheim, Norway; Department of Engineering Cybernetics, Centre for Autonomous Marine Operations and Systems (AMOS), Norwe-gian University of Science and Technology (NTNU), Trondheim, Norway","2021 European Control Conference (ECC)","3 Jan 2022","2021","","","586","593","This paper deals with robotic lever control using Explainable Deep Reinforcement Learning. First, we train a policy by using the Deep Deterministic Policy Gradient algorithm and the Hindsight Experience Replay technique, where the goal is to control a robotic manipulator to manipulate a lever. This enables us both to use continuous states and actions and to learn with sparse rewards. Being able to learn from sparse rewards is especially desirable for Deep Reinforcement Learning because designing a reward function for complex tasks such as this is challenging. We first train in the PyBullet simulator, which accelerates the training procedure, but is not accurate on this task compared to the real-world environment. After completing the training in PyBullet, we further train in the Gazebo simulator, which runs more slowly than PyBullet, but is more accurate on this task. We then transfer the policy to the real-world environment, where it achieves comparable performance to the simulated environments for most episodes. To explain the decisions of the policy we use the SHAP method to create an explanation model based on the episodes done in the real-world environment. This gives us some results that agree with intuition, and some that do not. We also question whether the independence assumption made when approximating the SHAP values influences the accuracy of these values for a system such as this, where there are some correlations between the states.","","978-9-4638-4236-5","10.23919/ECC54610.2021.9654850","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9654850","Deep Reinforcement Learning;Hindsight Experience Replay;Robotics;Explainable Artificial Intelligence;SHapley Additive Explanations","Training;Correlation;Additives;Europe;Reinforcement learning;Manipulators;Task analysis","deep learning (artificial intelligence);gradient methods;learning systems;manipulators;reinforcement learning","robotic lever manipulation;Shapley additive explanation;robotic lever control;deep deterministic policy gradient algorithm;hindsight experience replay;continuous states;sparse rewards;reward function;PyBullet simulator;Gazebo simulator;explainable deep reinforcement learning;SHAP method","","3","","31","","3 Jan 2022","","","IEEE","IEEE Conferences"
"Interpretation of Emergent Communication in Heterogeneous Collaborative Embodied Agents","S. Patel; S. Wani; U. Jain; A. Schwing; S. Lazebnik; M. Savva; A. X. Chang",Simon Fraser University; IIT Kanpur; UIUC; UIUC; UIUC; Simon Fraser University; Simon Fraser University,"2021 IEEE/CVF International Conference on Computer Vision (ICCV)","28 Feb 2022","2021","","","15993","15943","Communication between embodied AI agents has received increasing attention in recent years. Despite its use, it is still unclear whether the learned communication is interpretable and grounded in perception. To study the grounding of emergent forms of communication, we first introduce the collaborative multi-object navigation task ‘CoMON.' In this task, an ‘oracle agent' has detailed environment information in the form of a map. It communicates with a ‘navigator agent' that perceives the environment visually and is tasked to find a sequence of goals. To succeed at the task, effective communication is essential. CoMON hence serves as a basis to study different communication mechanisms between heterogeneous agents, that is, agents with different capabilities and roles. We study two common communication mechanisms and analyze their communication patterns through an egocentric and spatial lens. We show that the emergent communication can be grounded to the agent observations and the spatial structure of the 3D environment.","2380-7504","978-1-6654-2812-5","10.1109/ICCV48922.2021.01565","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9711485","Vision for robotics and autonomous vehicles;Explainable AI;Visual reasoning and logical representation","Computer vision;Three-dimensional displays;Systematics;Navigation;Grounding;Collaboration;Task analysis","","","","3","","73","IEEE","28 Feb 2022","","","IEEE","IEEE Conferences"
"Network Generalization Prediction for Safety Critical Tasks in Novel Operating Domains","M. O’Brien; M. Medoff; J. Bukowski; G. Hager","Department of Computer Science, Johns Hopkins University, Baltimore, MD; Exida LLC, Sellersville, PA; Department of Electrical and Computer Engineering, Villanova University, Villanova, PA; Department of Computer Science, Johns Hopkins University, Baltimore, MD","2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)","15 Feb 2022","2022","","","1839","1847","It is well known that Neural Network (network) performance often degrades when a network is used in novel operating domains that differ from its training and testing domains. This is a major limitation, as networks are being integrated into safety critical, cyber-physical systems that must work in unconstrained environments, e.g., perception for autonomous vehicles. Training networks that generalize to novel operating domains and that extract robust features is an active area of research, but previous work fails to predict what the network performance will be in novel operating domains. We propose the task Network Generalization Prediction: predicting the expected network performance in novel operating domains. We describe the network performance in terms of an interpretable Context Subspace, and we propose a methodology for selecting the features of the Context Subspace that provide the most information about the network performance. We identify the Context Subspace for a pretrained Faster RCNN network performing pedestrian detection on the Berkeley Deep Drive (BDD) Dataset, and demonstrate Network Generalization Prediction accuracy within 5% of observed performance. We also demonstrate that the Context Subspace from the BDD Dataset is informative for completely unseen datasets, JAAD and Cityscapes, where predictions have a bias of 10% or less.","2642-9381","978-1-6654-0915-5","10.1109/WACV51458.2022.00190","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9706768","Vision for Robotics Datasets;Evaluation and Comparison of Vision Algorithms;Explainable AI;Fairness;Accountability;Privacy and Ethics in Vision;Human-Computer Interaction;Vision Systems and Applications","Training;Computer vision;Neural networks;Cyber-physical systems;Feature extraction;Safety;Task analysis","feature extraction;learning (artificial intelligence);neural nets;object detection;pedestrians;predictive control;traffic engineering computing","Context Subspace;safety critical tasks;novel operating domains;Neural Network performance;testing domains;cyber-physical systems;training networks;task Network Generalization Prediction;expected network performance;pretrained Faster RCNN network;Network Generalization Prediction accuracy","","1","","25","IEEE","15 Feb 2022","","","IEEE","IEEE Conferences"
"Autonomous Causally-Driven Explanation of Actions","G. E. Katz; D. Dullnig; G. P. Davis; R. J. Gentili; J. A. Reggia","Department of Computer Science, University of Maryland, College Park, Maryland; Department of Computer Science, University of Maryland, College Park, Maryland; Department of Computer Science, University of Maryland, College Park, Maryland; Department of Kinesiology, University of Maryland, College Park, Maryland; Department of Computer Science, University of Maryland, College Park, Maryland","2017 International Conference on Computational Science and Computational Intelligence (CSCI)","6 Dec 2018","2017","","","772","778","We propose a cause-effect reasoning mechanism with which an autonomous system can justify planned actions to a human end user. The mechanism is based on a structure we call a ""causal plan graph,"" which encodes the causal relationships between the actions, intentions, and goals of the autonomous system. Causal chains within this graph can potentially serve as intuitive, human-friendly justifications for the autonomous system's planned actions. A prototype of this mechanism is tested in simulation on a set of planning problems from an autonomous maintenance scenario. We demonstrate empirically that shortest path algorithms can effectively reduce a very large number of possible causal chains to a small, intelligible subset that might reasonably be inspected and ranked by a human. Consequently this work can serve as the basis for an experimental platform for future end user studies with human participants.","","978-1-5386-2652-8","10.1109/CSCI.2017.133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8560892","cause-effect reasoning;explainable artificial intelligence (XAI);imitation learning;robotics","","cause-effect analysis;control engineering computing;graph theory;inference mechanisms;maintenance engineering;planning (artificial intelligence)","autonomous system;planning problems;autonomous maintenance scenario;possible causal chains;future end user studies;human participants;autonomous causally-driven explanation;cause-effect reasoning mechanism;planned actions;human end user;causal plan graph;causal relationships;human-friendly justifications","","1","","14","IEEE","6 Dec 2018","","","IEEE","IEEE Conferences"
