Authors,Title,Year,Link,Abstract,Author Keywords,Index Keywords
"Albahri A.S., Duhaim A.M., Fadhel M.A., Alnoor A., Baqer N.S., Alzubaidi L., Albahri O.S., Alamoodi A.H., Bai J., Salhi A., Santamaría J., Ouyang C., Gupta A., Gu Y., Deveci M.","A systematic review of trustworthy and explainable artificial intelligence in healthcare: Assessment of quality, bias risk, and data fusion",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151265419&doi=10.1016%2fj.inffus.2023.03.008&partnerID=40&md5=ed8929df202fd77c56bb836cbd97bccd","In the last few years, the trend in health care of embracing artificial intelligence (AI) has dramatically changed the medical landscape. Medical centres have adopted AI applications to increase the accuracy of disease diagnosis and mitigate health risks. AI applications have changed rules and policies related to healthcare practice and work ethics. However, building trustworthy and explainable AI (XAI) in healthcare systems is still in its early stages. Specifically, the European Union has stated that AI must be human-centred and trustworthy, whereas in the healthcare sector, low methodological quality and high bias risk have become major concerns. This study endeavours to offer a systematic review of the trustworthiness and explainability of AI applications in healthcare, incorporating the assessment of quality, bias risk, and data fusion to supplement previous studies and provide more accurate and definitive findings. Likewise, 64 recent contributions on the trustworthiness of AI in healthcare from multiple databases (i.e., ScienceDirect, Scopus, Web of Science, and IEEE Xplore) were identified using a rigorous literature search method and selection criteria. The considered papers were categorised into a coherent and systematic classification including seven categories: explainable robotics, prediction, decision support, blockchain, transparency, digital health, and review. In this paper, we have presented a systematic and comprehensive analysis of earlier studies and opened the door to potential future studies by discussing in depth the challenges, motivations, and recommendations. In this study a systematic science mapping analysis in order to reorganise and summarise the results of earlier studies to address the issues of trustworthiness and objectivity was also performed. Moreover, this work has provided decisive evidence for the trustworthiness of AI in health care by presenting eight current state-of-the-art critical analyses regarding those more relevant research gaps. In addition, to the best of our knowledge, this study is the first to investigate the feasibility of utilising trustworthy and XAI applications in healthcare, by incorporating data fusion techniques and connecting various important pieces of information from available healthcare datasets and AI algorithms. The analysis of the revised contributions revealed crucial implications for academics and practitioners, and then potential methodological aspects to enhance the trustworthiness of AI applications in the medical sector were reviewed. Successively, the theoretical concept and current use of 17 XAI methods in health care were addressed. Finally, several objectives and guidelines were provided to policymakers to establish electronic health-care systems focused on achieving relevant features such as legitimacy, morality, and robustness. Several types of information fusion in healthcare were focused on in this study, including data, feature, image, decision, multimodal, hybrid, and temporal. © 2023","Artificial intelligence; Explainability; Healthcare; Information fusion; Trustworthiness","Artificial intelligence; Data fusion; Diagnosis; Ethical technology; Health care; Health risks; Risk assessment; 'current; Disease diagnosis; European union; Explainability; Healthcare; Healthcare systems; Medical center; Systematic Review; Trustworthiness; Work ethics; Decision support systems"
"Tong Y., Chen J., Wang Y.","Geometry-guided multilevel RGBD fusion for surface normal estimation",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156245655&doi=10.1016%2fj.comcom.2023.04.014&partnerID=40&md5=e7a1df4891477fb6a6a2ad200d3aa0c5","Developments in 3D computer vision have advanced scene understanding and 3D modeling. Surface normal estimation is a basic task in these fields. In this paper, we propose a geometry-guided multilevel fusion scheme for high-quality surface normal estimation by exploiting texture and geometry information from color and depth images. The surface normal is progressively predicted with a coarse-to-fine strategy. First, an initial surface normal (IniNormal) Nini is predicted by a hierarchical confidence reweighting convolution neural network to merge texture and geometry information in a CNN feature level. Although a general accuracy is achieved, the long tail problem makes the IniNormal always fails in special areas where the depth map is high-quality while the intensity interference is challenging, such as repeating textures and abnormal exposures. Further, a traditional geometry-consistent based surface normal(GeoNormal) Ngeo is calculated based on traditional constraints, and a surface normal level fusion module is designed to remap the depth to different representations and reconsider scene information. Then, the final clear surface normal N is estimated by adaptively reintegrating the IniNormal and GeoNormal in a decision level. To overcome disturbances in the dataset and ensure the trainability of the network, a carefully designed hybrid objective function and an annealed term are applied. An explainable analysis is attached. The experimental results on two benchmark datasets demonstrate that the proposed GMLF(geometry-guided multilevel RGBD fusion for surface normal estimation) can achieve better quantitative and qualitative performance. The proposed method may be useful for robots and auto-driving which can be applied in the next-generation Internet-of-Things (NG-IoT). © 2023 Elsevier B.V.","CNN; Deep learning; Scene understanding; Surface normal estimation","3D modeling; Benchmarking; Deep learning; Internet of things; Textures; 3D computer vision; 3D models; 3d-modeling; Deep learning; Geometry information; Multilevels; Scene understanding; Surface normal estimation; Surface normals; Texture information; Geometry"
"Coppolino S., Migliore M.","An explainable artificial intelligence approach to spatial navigation based on hippocampal circuitry",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151678377&doi=10.1016%2fj.neunet.2023.03.030&partnerID=40&md5=aa456ae8dd8382310082835550c80db2","Learning to navigate a complex environment is not a difficult task for a mammal. For example, finding the correct way to exit a maze following a sequence of cues, does not need a long training session. Just a single or a few runs through a new environment is, in most cases, sufficient to learn an exit path starting from anywhere in the maze. This ability is in striking contrast with the well-known difficulty that any deep learning algorithm has in learning a trajectory through a sequence of objects. Being able to learn an arbitrarily long sequence of objects to reach a specific place could take, in general, prohibitively long training sessions. This is a clear indication that current artificial intelligence methods are essentially unable to capture the way in which a real brain implements a cognitive function. In previous work, we have proposed a proof-of-principle model demonstrating how, using hippocampal circuitry, it is possible to learn an arbitrary sequence of known objects in a single trial. We called this model SLT (Single Learning Trial). In the current work, we extend this model, which we will call e-STL, to introduce the capability of navigating a classic four-arms maze to learn, in a single trial, the correct path to reach an exit ignoring dead ends. We show the conditions under which the e-SLT network, including cells coding for places, head-direction, and objects, can robustly and efficiently implement a fundamental cognitive function. The results shed light on the possible circuit organization and operation of the hippocampus and may represent the building block of a new generation of artificial intelligence algorithms for spatial navigation. © 2023 The Author(s)","Hippocampal circuitry; Robot spatial navigation; Spike-time-dependent plasticity; Spiking neurons network","Air navigation; Deep learning; Intelligent robots; Learning algorithms; Mammals; Neurons; Timing circuits; 'current; Cognitive functions; Hippocampal circuitry; Learn+; Robot spatial navigation; Single trial; Spatial navigation; Spike-time dependent plasticities; Spiking neuron networks; Training sessions; Brain; Article; artificial intelligence; artificial neural network; cognition; connectome; controlled study; deep learning; firing rate; hippocampal CA1 region; human; interneuron; learning algorithm; long short term memory recurrent network; nerve cell; nerve cell plasticity; simulation; spatial orientation; synapse; visual field; animal; association; brain; hippocampus; mammal; maze test; Animals; Artificial Intelligence; Brain; Cues; Hippocampus; Mammals; Maze Learning; Spatial Navigation"
"Lytridis C., Siavalas G., Pachidis T., Theocharis S., Moschou E., Kaburlasos V.G.","Grape Maturity Estimation for Personalized Agrobot Harvest by Fuzzy Lattice Reasoning (FLR) on an Ontology of Constraints",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159307977&doi=10.3390%2fsu15097331&partnerID=40&md5=eb62041e7244cc8223aec05db9fcd20d","Sustainable agricultural production, under the current world population explosion, calls for agricultural robot operations that are personalized, i.e., locally adjusted, rather than en masse. This work proposes implementing such operations based on logic in order to ensure that a reasonable operation is applied locally. In particular, the interest here is in grape harvesting, where a binary decision has to be taken regarding the maturity of a grape in order to harvest it or not. A Boolean lattice ontology of inequalities is considered regarding three grape maturity indices. Then, the established fuzzy lattice reasoning (FLR) is applied by the FLRule method. Comparative experimental results on real-world data demonstrate a good maturity prediction. Other advantages of the proposed method include being parametrically tunable, as well as exhibiting explainable decision-making with either crisp or ambiguous input measurements. New mathematical results are also presented. © 2023 by the authors.","agricultural robot; fuzzy lattice reasoning (FLR); grape harvest; ontology",
"Wang C., Deigmoeller J., An P., Eggert J.","A User Interface for Sense-making of the Reasoning Process while Interacting with Robots",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158148086&doi=10.1145%2f3544549.3585886&partnerID=40&md5=282104526815f41d4dd13f3922563bbd","This paper describes an interface that enables experts to communicate with a virtual robot in a simulated environment via natural language, and to visualize the robot's knowledge representation for them for inspection and correction. The interface visually links the robot's internal reasoning processes and knowledge with the simulated instances in the form of a 3D isometric visualization as well as the robot's first-person view. After 3 weeks of using the system by the roboticists in their daily development, some feedback was collected that provided insights for designing such systems in the future. © 2023 Owner/Author.","data visualization; explainable AI; graph representation; human-robot interaction","Data visualization; Knowledge representation; Three dimensional computer graphics; User interfaces; Visualization; Explainable AI; Graph representation; Humans-robot interactions; Knowledge-representation; Natural languages; Reasoning process; Robot knowledge; Sense making; Simulated environment; Virtual robots; Human robot interaction"
"Wang C., Belardinelli A., Hasler S., Stouraitis T., Tanneberg D., Gienger M.","Explainable Human-Robot Training and Cooperation with Augmented Reality",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158128843&doi=10.1145%2f3544549.3583889&partnerID=40&md5=26aef666b28971af219d315281ab1238","The current spread of social and assistive robotics applications is increasingly highlighting the need for robots that can be easily taught and interacted with, even by users with no technical background. Still, it is often difficult to grasp what such robots know or to assess if a correct representation of the task is being formed. Augmented Reality (AR) has the potential to bridge this gap. We demonstrate three use cases where AR design elements enhance the explainability and efficiency of human-robot interaction: 1) a human teaching a robot some simple kitchen tasks by demonstration, 2) the robot showing its plan for solving novel tasks in AR to a human for validation, and 3) a robot communicating its intentions via AR while assisting people with limited mobility during daily activities. © 2023 Owner/Author.","augmented reality; explainability; human-robot interaction","Human robot interaction; Machine design; Man machine systems; 'current; Assistive robotics; Explainability; Human robots; Humans-robot interactions; Robot cooperation; Robot training; Robotics applications; Social robotics; Technical background; Augmented reality"
"Engelmann D.C., Ferrando A., Panisson A.R., Ancona D., Bordini R.H., Mascardi V.","RV4JaCa—Towards Runtime Verification of Multi-Agent Systems and Robotic Applications",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153763040&doi=10.3390%2frobotics12020049&partnerID=40&md5=ee7e9c42cd6eadde971edfbbdf08012b","This paper presents a Runtime Verification (RV) approach for Multi-Agent Systems (MAS) using the JaCaMo framework. Our objective is to bring a layer of security to the MAS. This is achieved keeping in mind possible safety-critical uses of the MAS, such as robotic applications. This layer is capable of controlling events during the execution of the system without needing a specific implementation in the behaviour of each agent to recognise the events. In this paper, we mainly focus on MAS when used in the context of hybrid intelligence. This use requires communication between software agents and human beings. In some cases, communication takes place via natural language dialogues. However, this kind of communication brings us to a concern related to controlling the flow of dialogue so that agents can prevent any change in the topic of discussion that could impair their reasoning. The latter may be a problem and undermine the development of the software agents. In this paper, we tackle this problem by proposing and demonstrating the implementation of a framework that aims to control the dialogue flow in a MAS; especially when the MAS communicates with the user through natural language to aid decision-making in a hospital bed allocation scenario. © 2023 by the authors.","dialogue systems; explainable artificial intelligence; JaCaMo framework; multi-agent systems; robotic applications; runtime verification",
"Diehl M., Ramirez-Amaro K.","A causal-based approach to explain, predict and prevent failures in robotic tasks",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148045095&doi=10.1016%2fj.robot.2023.104376&partnerID=40&md5=efb64310e5db4abf2c792f065ec3bf86","Robots working in human environments need to adapt to unexpected changes to avoid failures. This is an open and complex challenge that requires robots to timely predict and identify the causes of failures in order to prevent them. In this paper, we present a causal-based method that will enable robots to predict when errors are likely to occur and prevent them from happening by executing a corrective action. Our proposed method is able to predict immediate failures and also failures that will occur in the future. The latter type of failure is very challenging, and we call them timely-shifted action failures (e.g., the current action was successful but will negatively affect the success of future actions). First, our method detects the cause–effect relationships between task executions and their consequences by learning a causal Bayesian network (BN). The obtained model is transferred from simulated data to real scenarios to demonstrate the robustness and generalization of the obtained models. Based on the causal BN, the robot can predict if and why the executed action will succeed or not in its current state. Then, we introduce a novel method that finds the closest success state through a contrastive Breadth-First-Search if the current action was predicted to fail. We evaluate our approach for the problem of stacking cubes in two cases; (a) single stacks (stacking one cube) and; (b) multiple stacks (stacking three cubes). In the single-stack case, our method was able to reduce the error rate by 97%. We also show that our approach can scale to capture various actions in one model, allowing us to measure the impact of an imprecise stack of the first cube on the stacking success of the third cube. For these complex situations, our model was able to prevent around 95% of the stacking errors. Thus, demonstrating that our method is able to explain, predict, and prevent execution failures, which even scales to complex scenarios that require an understanding of how the action history impacts future actions. © 2023 The Authors","Causality in robotics; Explainable AI; Failure prediction and prevention","Bayesian networks; Complex networks; Errors; Forecasting; Geometry; 'current; Causal Bayesian network; Causality in robotic; Explainable AI; Failure prevention; Failures prediction; Robotic tasks; Robots working; Stackings; Three cubes; Robots"
"Halilovic A., Lindner F.","Visuo-Textual Explanations of a Robot's Navigational Choices",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150470569&doi=10.1145%2f3568294.3580141&partnerID=40&md5=c2612619de169bca7ebe7dcd434f75f7","With the rise in the number of robots in our daily lives, human-robot encounters will become more frequent. To improve human-robot interaction (HRI), people will require explanations of robots' actions, especially if they do something unexpected. Our focus is on robot navigation, where we explain why robots make specific navigational choices. Building on methods from the area of Explainable Artificial Intelligence (XAI), we employ a semantic map and techniques from the area of Qualitative Spatial Reasoning (QSR) to enrich visual explanations with knowledge-level spatial information. We outline how a robot can generate visual and textual explanations simultaneously and test our approach in simulation. © 2023 IEEE Computer Society. All rights reserved.","explainable artificial intelligence; human-robot interaction; obstacle avoidance; robot navigation","Intelligent robots; Man machine systems; Navigation; Semantics; Daily lives; Explainable artificial intelligence; Human robots; Humans-robot interactions; Obstacles avoidance; Qualitative spatial reasoning; Robot actions; Robot navigation; Semantic map; Semantic techniques; Human robot interaction"
"Booth S.","Aligning Robot Behaviors with Human Intents by Exposing Learned Behaviors and Resolving Misspecifications",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150458614&doi=10.1145%2f3568294.3579971&partnerID=40&md5=5a9a3d7dc645df0b549f9114b8df84f6","Human-robot interaction is limited by the challenge of writing specifications for robots. We desire alignment between humans' goals and robot behaviors, but this alignment is very hard to achieve [1, 8]. My research tackles this problem. I first study how humans currently write reward functions, and I profile common errors they make when doing so [2]. I then study how humans can inspect robot's learned behaviors. To do so, I introduce a Bayesian inference method for finding behavior examples which cover informationrich test cases [4, 12]. I also study how these examples should be presented to the human through applying human concept learning theories [10, 5, 3]. For the remainder of my thesis, I am studying two questions. First, how these components can be combined such that humans are able to iteratively design better behavioral specifications? Second, can robots smartly interpret humans' erroneous specifications, to correct for these errors? © 2023 IEEE Computer Society. All rights reserved.","Explainable AI; Human-Robot Interaction; Reward Design","Bayesian networks; Behavioral research; Inference engines; Iterative methods; Machine design; Man machine systems; Specifications; Statistical tests; Bayesian inference; Explainable AI; Humans-robot interactions; Inference methods; Misspecification; Reward design; Reward function; Robot behavior; SO 2; Writing specifications; Human robot interaction"
